blockTime,mint,delta_raw,fee_lamports
1771892434,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,948153135,19154
1771892434,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,172474549,9773
1771888241,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-918110714,5000
1771888241,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-2215646191,5000
1771888064,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,3133760514,5000
1771885106,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-3133760514,36989
1771885018,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,792263586,5000
1771885018,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,2341491551,5000
1771877887,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-792263590,5000
1771877855,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-2337629270,5000
1771877789,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,3129898268,26497
1771876611,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,180712855,48574
1771876611,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,110228756,21315
1771873035,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-2968519531,180072
1771873012,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1722630979,82975
1771869659,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1239071179,64433
1771869657,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,6817370,24399
1771836376,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-1713437056,36441
1771836303,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-5896281095,5000
1771836303,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-4570995437,5000
1771836254,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,7081565926,5000
1771836254,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,5099146934,5000
1771833800,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-7081565926,5000
1771833800,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-5064894875,5000
1771833692,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,3460312,5000
1771833692,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,4083648659,5000
1771833692,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,8059346505,5000
1771828153,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-4083648659,5000
1771828153,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-9856415574,5000
1771828025,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,5353080974,5000
1771828025,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,8586988841,5000
1771804113,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-3129898268,13660
1771803788,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-1203552203,5000
1771803788,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-5946225322,5000
